image,caption,category
1001.jpg,a plate of food on a desk with a laptop and a cup of coffee,Technology / Screen
1002.jpg,a woman sitting at a desk with a computer,Technology / Screen
1003.jpg,a woman walking her dog on the beach,Human-Animal Interaction
1004.jpg,two boys playing in the sand,Social Interaction (Pairs)
1005.jpg,a blue couch,Indoor Objects / Scenes
1006.jpg,a cat eating grass from a bowl,Food / Eating
1007.jpg,a stuffed panda bear sitting on a bed next to a card,Animal Focus
1008.jpg,a dog sitting at a table with a bowl of food,Food / Eating
1009.jpg,a small puppy standing on top of a wooden barrel,Animal Focus
1010.jpg,a man walks past a store,Single Person
1011.jpg,a group of people sitting on a bus,Group / Crowd
1012.jpg,a small dog laying on a blue rug,Animal Focus
1013.jpg,a tree with no leaves,Outdoor / Vehicles
1014.jpg,a toilet with a green bucket and a window,Indoor Objects / Scenes
1015.jpg,a bowl of salad,Food / Eating
1016.jpg,a bedroom with a bed and a dresser,Indoor Objects / Scenes
1017.jpg,two girls walking on a concrete wall,Social Interaction (Pairs)
1018.jpg,a baseball player sliding into home plate,Sports / Physical Activity
1019.jpg,two cats playing with a couch,Sports / Physical Activity
1020.jpg,a girl reading a book,Single Person
1021.jpg,a sandwich with meat and salad on a plate,Food / Eating
1022.jpg,a woman sitting on the curb of a road,Single Person
1023.jpg,"person, left, and person play a game of pool",Social Interaction (Pairs)
1024.jpg,a dog is sitting in a chair with a tissue,Animal Focus
1025.jpg,a young boy is holding a goat in his hands,Single Person
1026.jpg,a pan of chicken in a pan on a stove,Food / Eating
1027.jpg,a helicopter is flying over a vehicle in the snow,Outdoor / Vehicles
1028.jpg,"lebron, cakir lead heat to win over jazzs",Sports / Physical Activity
1029.jpg,a plane is parked on the runway at an airport,Outdoor / Vehicles
1030.jpg,a white bowl of cereal,Food / Eating
1031.jpg,a bunch of pup,Group / Crowd
1032.jpg,a living room with couches and a fan,Indoor Objects / Scenes
1033.jpg,a man walking on the beach with sail boats in the background,Single Person
1034.jpg,two men in blue work on a large machine,Social Interaction (Pairs)
1035.jpg,a plate of food on a table with a cup of coffee,Food / Eating
1036.jpg,"a cell, a wallet, a key, and a cell",Technology / Screen
1037.jpg,a bird standing on the sand next to a bottle,Animal Focus
1038.jpg,a dog standing in front of a gate,Animal Focus
1039.jpg,tennis player returns to the world,Sports / Physical Activity
1040.jpg,a metal pitcher and some fruit on a counter,Food / Eating
1041.jpg,a man feeding a bird on top of a mountain,Human-Animal Interaction
1042.jpg,a little girl in a red dress,Single Person
1043.jpg,a glass of peach and a peach cocktail,Indoor Objects / Scenes
1044.jpg,a stove with a pot of food on it,Food / Eating
1045.jpg,a man and a child playing in the sand,Adult-Child Interaction
1046.jpg,two people in the ocean,Social Interaction (Pairs)
1047.jpg,a group of people standing on a beach,Group / Crowd
1048.jpg,a woman sitting at a table drinking a cup of coffee,Food / Eating
1049.jpg,"a shelf with pots, uts and uts on it",Indoor Objects / Scenes
1050.jpg,three children playing in the sand on the beach,Group / Crowd
1051.jpg,a man and woman sitting at a table,Social Interaction (Pairs)
1052.jpg,three children sitting on the floor with bowls of food,Group / Crowd
1053.jpg,a man and woman standing in front of a wall with a clock,Social Interaction (Pairs)
1054.jpg,a small dog playing with a soccer ball,Sports / Physical Activity
1055.jpg,a silhouette of a man playing baseball with a child,Adult-Child Interaction
1056.jpg,a man sitting on a bench in front of a store,Single Person
1057.jpg,a sign on a road with a car driving by,Outdoor / Vehicles
1058.jpg,people walking on the beach at sunset,Social Interaction (Pairs)
1059.jpg,two young boys sitting on a couch holding signs that say ' drink safe ',Social Interaction (Pairs)
1060.jpg,two children laying on the grass with a soccer ball,Social Interaction (Pairs)
1061.jpg,a homeless dog waits for his master to come home,Animal Focus
1062.jpg,a volleyball ball on the beach with a lifeguard chair,Sports / Physical Activity
1063.jpg,a vase with flowers and a picture frame on a table,Indoor Objects / Scenes
1064.jpg,a man laying on the beach next to a sign,Single Person
1065.jpg,a laptop computer,Technology / Screen
1066.jpg,a plate of cake and a cup of coffee,Food / Eating
1067.jpg,a plate of pasta with tomato sauce and a glass of wine,Food / Eating
1068.jpg,a dog sitting at a table on the beach,Animal Focus
1069.jpg,a man and his dog on the beach,Human-Animal Interaction
1070.jpg,a person sitting at a table with a cup of coffee,Food / Eating
1071.jpg,two children playing in the sand at the beach,Social Interaction (Pairs)
1072.jpg,a girl jumping in the air at sunset,Single Person
1073.jpg,a penguin is playing with a soccer ball,Sports / Physical Activity
1074.jpg,a person is playing with a ball on the beach,Sports / Physical Activity
1075.jpg,the girls are playing with a ball in the field,Social Interaction (Pairs)
1076.jpg,a dog laying on the floor next to a tablet,Animal Focus
1077.jpg,a man sitting at a desk with a laptop,Technology / Screen
1078.jpg,a woman sitting at a table with a plate of food,Food / Eating
1079.jpg,a car driving down the street with a sign,Outdoor / Vehicles
1080.jpg,a dog laying on the ground with a rifle and a duck,Animal Focus
1081.jpg,a group of people playing a game of fr frc,Group / Crowd
1082.jpg,a hummingbird flying over a rose,Animal Focus
1083.jpg,a young boy playing in the snow with a fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr,Sports / Physical Activity
1084.jpg,a cat walking across a beach,Animal Focus
1085.jpg,a woman walking two dogs down a path,Social Interaction (Pairs)
1086.jpg,a white stove,Indoor Objects / Scenes
1087.jpg,"a bedroom with a bed, chair and a window",Indoor Objects / Scenes
1088.jpg,a man and woman riding bikes next to a large cruise ship,Social Interaction (Pairs)
1089.jpg,a man playing a guitar,Sports / Physical Activity
1090.jpg,a small child standing next to a big dog,Human-Animal Interaction
1091.jpg,a living room with couches and a fireplace,Indoor Objects / Scenes
1092.jpg,a plant on a wooden shelf next to a painting,Indoor Objects / Scenes
1093.jpg,a plate of food and a book on a table,Food / Eating
