image,caption,category
1001.jpg,a plate of food on a desk with a laptop and a cup of coffee,Food_Dining
1002.jpg,a woman sitting at a desk with a computer,Technology_Screens
1003.jpg,a woman walking her dog on the beach,Animals
1004.jpg,two boys playing in the sand,Children
1005.jpg,a blue couch,Indoor_Objects_Furniture
1006.jpg,a cat eating grass from a bowl,Animals
1007.jpg,a stuffed panda bear sitting on a bed next to a card,Transportation_Vehicles
1008.jpg,a dog sitting at a table with a bowl of food,Animals
1009.jpg,a small puppy standing on top of a wooden barrel,Animals
1010.jpg,a man walks past a store,Human_Single
1011.jpg,a group of people sitting on a bus,Social_Interaction
1012.jpg,a small dog laying on a blue rug,Animals
1013.jpg,a tree with no leaves,Outdoor_Nature
1014.jpg,a toilet with a green bucket and a window,Other
1015.jpg,a bowl of salad,Food_Dining
1016.jpg,a bedroom with a bed and a dresser,Indoor_Objects_Furniture
1017.jpg,two girls walking on a concrete wall,Children
1018.jpg,a baseball player sliding into home plate,Sports_Activity
1019.jpg,two cats playing with a couch,Animals
1020.jpg,a girl reading a book,Children
1021.jpg,a sandwich with meat and salad on a plate,Food_Dining
1022.jpg,a woman sitting on the curb of a road,Outdoor_Nature
1023.jpg,"person, left, and person play a game of pool",Human_Single
1024.jpg,a dog is sitting in a chair with a tissue,Animals
1025.jpg,a young boy is holding a goat in his hands,Human_Animal_Interaction
1026.jpg,a pan of chicken in a pan on a stove,Other
1027.jpg,a helicopter is flying over a vehicle in the snow,Transportation_Vehicles
1028.jpg,"lebron, cakir lead heat to win over jazzs",Other
1029.jpg,a plane is parked on the runway at an airport,Transportation_Vehicles
1030.jpg,a white bowl of cereal,Food_Dining
1031.jpg,a bunch of pup,Other
1032.jpg,a living room with couches and a fan,Indoor_Objects_Furniture
1033.jpg,a man walking on the beach with sail boats in the background,Outdoor_Nature
1034.jpg,two men in blue work on a large machine,Multiple_People
1035.jpg,a plate of food on a table with a cup of coffee,Food_Dining
1036.jpg,"a cell, a wallet, a key, and a cell",Technology_Screens
1037.jpg,a bird standing on the sand next to a bottle,Animals
1038.jpg,a dog standing in front of a gate,Animals
1039.jpg,tennis player returns to the world,Sports_Activity
1040.jpg,a metal pitcher and some fruit on a counter,Other
1041.jpg,a man feeding a bird on top of a mountain,Human_Animal_Interaction
1042.jpg,a little girl in a red dress,Children
1043.jpg,a glass of peach and a peach cocktail,Other
1044.jpg,a stove with a pot of food on it,Food_Dining
1045.jpg,a man and a child playing in the sand,Children
1046.jpg,two people in the ocean,Social_Interaction
1047.jpg,a group of people standing on a beach,Social_Interaction
1048.jpg,a woman sitting at a table drinking a cup of coffee,Food_Dining
1049.jpg,"a shelf with pots, uts and uts on it",Indoor_Objects_Furniture
1050.jpg,three children playing in the sand on the beach,Children
1051.jpg,a man and woman sitting at a table,Social_Interaction
1052.jpg,three children sitting on the floor with bowls of food,Children
1053.jpg,a man and woman standing in front of a wall with a clock,Social_Interaction
1054.jpg,a small dog playing with a soccer ball,Animals
1055.jpg,a silhouette of a man playing baseball with a child,Children
1056.jpg,a man sitting on a bench in front of a store,Human_Single
1057.jpg,a sign on a road with a car driving by,Transportation_Vehicles
1058.jpg,people walking on the beach at sunset,Outdoor_Nature
1059.jpg,two young boys sitting on a couch holding signs that say ' drink safe ',Children
1060.jpg,two children laying on the grass with a soccer ball,Children
1061.jpg,a homeless dog waits for his master to come home,Animals
1062.jpg,a volleyball ball on the beach with a lifeguard chair,Sports_Activity
1063.jpg,a vase with flowers and a picture frame on a table,Indoor_Objects_Furniture
1064.jpg,a man laying on the beach next to a sign,Outdoor_Nature
1065.jpg,a laptop computer,Technology_Screens
1066.jpg,a plate of cake and a cup of coffee,Food_Dining
1067.jpg,a plate of pasta with tomato sauce and a glass of wine,Food_Dining
1068.jpg,a dog sitting at a table on the beach,Animals
1069.jpg,a man and his dog on the beach,Animals
1070.jpg,a person sitting at a table with a cup of coffee,Food_Dining
