image,caption
1001.jpg,a plate of food on a desk with a laptop and a cup of coffee
1002.jpg,a woman sitting at a desk with a computer
1003.jpg,a woman walking her dog on the beach
1004.jpg,two boys playing in the sand
1005.jpg,a blue couch
1006.jpg,a cat eating grass from a bowl
1007.jpg,a stuffed panda bear sitting on a bed next to a card
1008.jpg,a dog sitting at a table with a bowl of food
1009.jpg,a small puppy standing on top of a wooden barrel
1010.jpg,a man walks past a store
1011.jpg,a group of people sitting on a bus
1012.jpg,a small dog laying on a blue rug
1013.jpg,a tree with no leaves
1014.jpg,a toilet with a green bucket and a window
1015.jpg,a bowl of salad
1016.jpg,a bedroom with a bed and a dresser
1017.jpg,two girls walking on a concrete wall
1018.jpg,a baseball player sliding into home plate
1019.jpg,two cats playing with a couch
1020.jpg,a girl reading a book
1021.jpg,a sandwich with meat and salad on a plate
1022.jpg,a woman sitting on the curb of a road
1023.jpg,"person, left, and person play a game of pool"
1024.jpg,a dog is sitting in a chair with a tissue
1025.jpg,a young boy is holding a goat in his hands
1026.jpg,a pan of chicken in a pan on a stove
1027.jpg,a helicopter is flying over a vehicle in the snow
1028.jpg,"lebron, cakir lead heat to win over jazzs"
1029.jpg,a plane is parked on the runway at an airport
1030.jpg,a white bowl of cereal
1031.jpg,a bunch of pup
1032.jpg,a living room with couches and a fan
1033.jpg,a man walking on the beach with sail boats in the background
1034.jpg,two men in blue work on a large machine
1035.jpg,a plate of food on a table with a cup of coffee
1036.jpg,"a cell, a wallet, a key, and a cell"
1037.jpg,a bird standing on the sand next to a bottle
1038.jpg,a dog standing in front of a gate
1039.jpg,tennis player returns to the world
1040.jpg,a metal pitcher and some fruit on a counter
1041.jpg,a man feeding a bird on top of a mountain
1042.jpg,a little girl in a red dress
1043.jpg,a glass of peach and a peach cocktail
1044.jpg,a stove with a pot of food on it
1045.jpg,a man and a child playing in the sand
1046.jpg,two people in the ocean
1047.jpg,a group of people standing on a beach
1048.jpg,a woman sitting at a table drinking a cup of coffee
1049.jpg,"a shelf with pots, uts and uts on it"
1050.jpg,three children playing in the sand on the beach
1051.jpg,a man and woman sitting at a table
1052.jpg,three children sitting on the floor with bowls of food
1053.jpg,a man and woman standing in front of a wall with a clock
1054.jpg,a small dog playing with a soccer ball
1055.jpg,a silhouette of a man playing baseball with a child
1056.jpg,a man sitting on a bench in front of a store
1057.jpg,a sign on a road with a car driving by
1058.jpg,people walking on the beach at sunset
1059.jpg,two young boys sitting on a couch holding signs that say ' drink safe '
1060.jpg,two children laying on the grass with a soccer ball
1061.jpg,a homeless dog waits for his master to come home
1062.jpg,a volleyball ball on the beach with a lifeguard chair
1063.jpg,a vase with flowers and a picture frame on a table
1064.jpg,a man laying on the beach next to a sign
1065.jpg,a laptop computer
1066.jpg,a plate of cake and a cup of coffee
1067.jpg,a plate of pasta with tomato sauce and a glass of wine
1068.jpg,a dog sitting at a table on the beach
1069.jpg,a man and his dog on the beach
1070.jpg,a person sitting at a table with a cup of coffee
1071.jpg,two children playing in the sand at the beach
1072.jpg,a girl jumping in the air at sunset
1073.jpg,a penguin is playing with a soccer ball
1074.jpg,a person is playing with a ball on the beach
1075.jpg,the girls are playing with a ball in the field
1076.jpg,a dog laying on the floor next to a tablet
1077.jpg,a man sitting at a desk with a laptop
1078.jpg,a woman sitting at a table with a plate of food
1079.jpg,a car driving down the street with a sign
1080.jpg,a dog laying on the ground with a rifle and a duck
1081.jpg,a group of people playing a game of fr frc
1082.jpg,a hummingbird flying over a rose
1083.jpg,a young boy playing in the snow with a fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr
1084.jpg,a cat walking across a beach
1085.jpg,a woman walking two dogs down a path
1086.jpg,a white stove
1087.jpg,"a bedroom with a bed, chair and a window"
1088.jpg,a man and woman riding bikes next to a large cruise ship
1089.jpg,a man playing a guitar
1090.jpg,a small child standing next to a big dog
1091.jpg,a living room with couches and a fireplace
1092.jpg,a plant on a wooden shelf next to a painting
1093.jpg,a plate of food and a book on a table
1094.jpg,a man in a coat and hat looking at his cell
1095.jpg,a man playing guitar on a stage in front of a building
1096.jpg,a man sitting at a table with a laptop
1097.jpg,a small dog laying in the grass with a ball
1098.jpg,a laptop and a phone on a desk
1099.jpg,a basket with a flower and a magazine on top
1100.jpg,a woman sitting at a table with a drink
1101.jpg,two boys playing in the water
1102.jpg,three men sitting at a table
1103.jpg,three people sitting in chairs playing accordions
1104.jpg,a wooden table
1105.jpg,a large painting on the wall
1106.jpg,a man laying on a bed with a laptop and a dog
1107.jpg,a woman sitting at a desk using a computer
1108.jpg,a woman holding a bowl of food in her hands
1109.jpg,a yellow chair and a blue bag on the grass
1110.jpg,two little girls sitting on a bed
1111.jpg,a football player is about to throw the ball
1112.jpg,a woman walking a dog down a street
1113.jpg,a man kneeling down on the ground with a paint can
1114.jpg,two girls skate down a street in the city
1115.jpg,a woman is jumping off a rock into the ocean
1116.jpg,a kitchen with black tile and green accents
1117.jpg,a man sitting at a table with a laptop and a sandwich
1118.jpg,a laptop computer
1119.jpg,a group of people holding plates of food
1120.jpg,a bike parked against a garage door in the middle of the city
1121.jpg,two people standing in front of a sign
1122.jpg,a cat eating food out of a plate in a kitchen
1123.jpg,a dog is walking on the beach with a plastic bottle
1124.jpg,a group of young women playing tennis on a tennis court
1125.jpg,a young boy holding a guitar in his hand
1126.jpg,a man playing pool
1127.jpg,a man eating a dough with powdered sugar on it
1128.jpg,a bird sitting on a bag
1129.jpg,a small dog standing on top of a wooden chair
1130.jpg,a man is handing a bowl of flowers to another man
1131.jpg,person is listed as the most professional tennis player in the world
1132.jpg,a man in a green shirt and sunglasses singing into a microphone
1133.jpg,"a table with a cup of tea, lemons and a can of soda"
1134.jpg,a white chair with a monitor on it
1135.jpg,a woman in a green shirt and black shorts playing soccer
1136.jpg,a group of men sitting around a table
1137.jpg,a plate with two slices of cake on it
1138.jpg,a man playing drums
1139.jpg,a man playing frurd with a dog
1140.jpg,a group of people dressed as a rabbit
1141.jpg,a woman in a kitchen preparing food
1142.jpg,a todd playing with toys on the floor
1143.jpg,a piece of cheese on a plate next to a cup of coffee
1144.jpg,a pineapple and a pineapple drink on a table
1145.jpg,a man sitting on a wooden table with a red light
1146.jpg,a man and a child are standing next to a sign
1147.jpg,a woman and a child playing with a stuffed animal
1148.jpg,a dog is sitting next to a bowl of food
1149.jpg,a table with a variety of food on it
1150.jpg,a man in a green uniform and blue gloves is looking at a small turtle on the beach
1151.jpg,a banana and a banana peel on a cutting board
1152.jpg,a plate with a plate of food and a book
1153.jpg,"a laptop computer sitting on a desk with a book, mouse, and mouse"
1154.jpg,a young girl is playing with a monkey
1155.jpg,a couple of kids walking on a beach
1156.jpg,a man and a child playing pool
1157.jpg,a group of people playing instruments in a room
1158.jpg,a woman is feeding a dog in a bucket
1159.jpg,two men are sitting at a table with a bowling ball
1160.jpg,a woman sitting on the road with her legs crossed
1161.jpg,a woman sitting in a chair with two men standing behind her
1162.jpg,two boys holding up a clock with a sign on it
1163.jpg,a woman is standing next to a sign
1164.jpg,a person flying a kite on the beach
1165.jpg,a woman standing in a yard with a camera
1166.jpg,a red bowl and a black kettle on a blue table
1167.jpg,a man holding a child and an eagle
1168.jpg,a person is holding chops over a plate of sui
1169.jpg,two girls playing soccer on a field
1170.jpg,a boy and a girl sitting on a couch playing with a tablet
1171.jpg,a watch and a cell phone on a black surface
1172.jpg,a man running on the beach
1173.jpg,a man riding a bike down the road
1174.jpg,a pink couch
1175.jpg,a large elk crossing the road
1176.jpg,a group of people walking down a snow covered street
1177.jpg,two women are posing for the camera in a booth
1178.jpg,a little girl sitting at a table with a cup and a spoon
1179.jpg,a vase of flowers on a table with a remote control
1180.jpg,three boys standing in the dirt near a field
1181.jpg,a man sitting on the sidewalk next to a sign
1182.jpg,a woman in a blue dress
1183.jpg,a woman standing next to a fire
1184.jpg,a young boy standing in a room with a toy
